시점,시도,주택유형,개수
2012.07,경상북도,아파트,803
2012.07,광주광역시,아파트,1979
2012.07,대구광역시,아파트,478
2012.07,대전광역시,아파트,27
2012.07,부산광역시,아파트,1348
2012.07,서울특별시,아파트,844
2012.07,세종특별자치시,아파트,0
2012.07,울산광역시,아파트,2316
2012.07,인천광역시,아파트,138
2012.07,전라남도,아파트,19
2012.07,전북특별자치도,아파트,49
2012.07,제주특별자치도,아파트,276
2012.07,충청남도,아파트,0
2012.07,충청북도,아파트,0
2012.08,강원특별자치도,아파트,0
2012.08,경기도,아파트,4145
2012.08,경상남도,아파트,962
2012.08,경상북도,아파트,80
2012.08,광주광역시,아파트,586
2012.08,대구광역시,아파트,47
2012.08,대전광역시,아파트,112
2012.08,부산광역시,아파트,336
2012.08,서울특별시,아파트,2418
2012.08,세종특별자치시,아파트,29
2012.08,울산광역시,아파트,124
2012.08,인천광역시,아파트,6206
2012.08,전라남도,아파트,0
2012.08,전북특별자치도,아파트,919
2012.08,제주특별자치도,아파트,12
2012.08,충청남도,아파트,471
2012.08,충청북도,아파트,19
2012.09,강원특별자치도,아파트,428
2012.09,경기도,아파트,3524
2012.09,경상남도,아파트,415
2012.09,경상북도,아파트,1635
2012.09,광주광역시,아파트,0
2012.09,대구광역시,아파트,0
2012.09,대전광역시,아파트,1012
2012.09,부산광역시,아파트,1115
2012.09,서울특별시,아파트,2635
2012.09,세종특별자치시,아파트,0
2012.09,울산광역시,아파트,16
2012.09,인천광역시,아파트,4298
2012.09,전라남도,아파트,24
2012.09,전북특별자치도,아파트,50
2012.09,제주특별자치도,아파트,181
2012.09,충청남도,아파트,29
2012.09,충청북도,아파트,56
2012.10,강원특별자치도,아파트,819
2012.10,경기도,아파트,8309
2012.10,경상남도,아파트,33
2012.10,경상북도,아파트,12
2012.10,광주광역시,아파트,0
2012.10,대구광역시,아파트,24
2012.10,대전광역시,아파트,99
2012.10,부산광역시,아파트,514
2012.10,서울특별시,아파트,4241
2012.10,세종특별자치시,아파트,0
2012.10,울산광역시,아파트,0
2012.10,인천광역시,아파트,3778
2012.10,전라남도,아파트,274
2012.10,전북특별자치도,아파트,595
2012.10,제주특별자치도,아파트,73
2012.10,충청남도,아파트,1747
2012.10,충청북도,아파트,294
2012.11,강원특별자치도,아파트,548
2012.11,경기도,아파트,6156
2012.11,경상남도,아파트,514
2012.11,경상북도,아파트,62
2012.11,광주광역시,아파트,344
2012.11,대구광역시,아파트,0
2012.11,대전광역시,아파트,365
2012.11,부산광역시,아파트,1467
2012.11,서울특별시,아파트,2681
2012.11,세종특별자치시,아파트,0
2012.11,울산광역시,아파트,47
2012.11,인천광역시,아파트,264
2012.11,전라남도,아파트,1471
2012.11,전북특별자치도,아파트,1886
2012.11,제주특별자치도,아파트,295
2012.11,충청남도,아파트,1294
2012.11,충청북도,아파트,533
2012.12,강원특별자치도,아파트,552
2012.12,경기도,아파트,5356
2012.12,경상남도,아파트,1421
2012.12,경상북도,아파트,-922
2012.12,광주광역시,아파트,791
2012.12,대구광역시,아파트,-401
2012.12,대전광역시,아파트,118
2012.12,부산광역시,아파트,2484
2012.12,서울특별시,아파트,2492
2012.12,세종특별자치시,아파트,1828
2012.12,울산광역시,아파트,97
2012.12,인천광역시,아파트,-4120
2012.12,전라남도,아파트,1774
2012.12,전북특별자치도,아파트,1896
2012.12,제주특별자치도,아파트,919
2012.12,충청남도,아파트,1148
2012.12,충청북도,아파트,0
2013.01,강원특별자치도,아파트,0
2013.01,경기도,아파트,70
2013.01,경상남도,아파트,70
2013.01,경상북도,아파트,1521
2013.01,광주광역시,아파트,72
2013.01,대구광역시,아파트,0
2013.01,대전광역시,아파트,96
2013.01,부산광역시,아파트,230
2013.01,서울특별시,아파트,3343
2013.01,세종특별자치시,아파트,0
2013.01,울산광역시,아파트,24
2013.01,인천광역시,아파트,70
2013.01,전라남도,아파트,3279
2013.01,전북특별자치도,아파트,849
2013.01,제주특별자치도,아파트,1402
2013.01,충청남도,아파트,960
2013.01,충청북도,아파트,0
2013.02,강원특별자치도,아파트,0
2013.02,경기도,아파트,5596
2013.02,경상남도,아파트,654
2013.02,경상북도,아파트,546
2013.02,광주광역시,아파트,354
2013.02,대구광역시,아파트,510
2013.02,대전광역시,아파트,210
2013.02,부산광역시,아파트,1799
2013.02,서울특별시,아파트,2177
2013.02,세종특별자치시,아파트,983
2013.02,울산광역시,아파트,1678
2013.02,인천광역시,아파트,1155
2013.02,전라남도,아파트,196
2013.02,전북특별자치도,아파트,0
2013.02,제주특별자치도,아파트,282
2013.02,충청남도,아파트,128
2013.02,충청북도,아파트,694
2013.03,강원특별자치도,아파트,755
2013.03,경기도,아파트,1577
2013.03,경상남도,아파트,267
2013.03,경상북도,아파트,275
2013.03,광주광역시,아파트,428
2013.03,대구광역시,아파트,0
2013.03,대전광역시,아파트,190
2013.03,부산광역시,아파트,2967
2013.03,서울특별시,아파트,1241
2013.03,세종특별자치시,아파트,0
2013.03,울산광역시,아파트,482
2013.03,인천광역시,아파트,459
2013.03,전라남도,아파트,107
2013.03,전북특별자치도,아파트,95
2013.03,제주특별자치도,아파트,211
2013.03,충청남도,아파트,49
2013.03,충청북도,아파트,903
2013.04,강원특별자치도,아파트,184
2013.04,경기도,아파트,8269
2013.04,경상남도,아파트,989
2013.04,경상북도,아파트,526
2013.04,광주광역시,아파트,1934
2013.04,대구광역시,아파트,1669
2013.04,대전광역시,아파트,0
2013.04,부산광역시,아파트,730
2013.04,서울특별시,아파트,807
2013.04,세종특별자치시,아파트,0
2013.04,울산광역시,아파트,72
2013.04,인천광역시,아파트,63
2013.04,전라남도,아파트,1066
2013.04,전북특별자치도,아파트,178
2013.04,제주특별자치도,아파트,179
2013.04,충청남도,아파트,655
2013.04,충청북도,아파트,599
2013.05,강원특별자치도,아파트,606
2013.05,경기도,아파트,6019
2013.05,경상남도,아파트,2157
2013.05,경상북도,아파트,203
2013.05,광주광역시,아파트,831
2013.05,대구광역시,아파트,979
2013.05,대전광역시,아파트,849
2013.05,부산광역시,아파트,694
2013.05,서울특별시,아파트,2942
2013.05,세종특별자치시,아파트,0
2013.05,울산광역시,아파트,229
2013.05,인천광역시,아파트,567
2013.05,전라남도,아파트,457
2013.05,전북특별자치도,아파트,109
2013.05,제주특별자치도,아파트,223
2013.05,충청남도,아파트,1896
2013.05,충청북도,아파트,120
2013.06,강원특별자치도,아파트,510
2013.06,경기도,아파트,5578
2013.06,경상남도,아파트,1749
2013.06,경상북도,아파트,719
2013.06,광주광역시,아파트,1147
2013.06,대구광역시,아파트,1600
2013.06,대전광역시,아파트,1246
2013.06,부산광역시,아파트,6113
2013.06,서울특별시,아파트,1924
2013.06,세종특별자치시,아파트,0
2013.06,울산광역시,아파트,530
2013.06,인천광역시,아파트,783
2013.06,전라남도,아파트,515
2013.06,전북특별자치도,아파트,24
2013.06,제주특별자치도,아파트,228
2013.06,충청남도,아파트,1007
2013.06,충청북도,아파트,1995
2013.07,강원특별자치도,아파트,111
2013.07,경기도,아파트,599
2013.07,경상남도,아파트,767
2013.07,경상북도,아파트,309
2013.07,광주광역시,아파트,141
2013.07,대구광역시,아파트,0
2013.07,대전광역시,아파트,0
2013.07,부산광역시,아파트,569
2013.07,서울특별시,아파트,957
2013.07,세종특별자치시,아파트,585
2013.07,울산광역시,아파트,0
2013.07,인천광역시,아파트,235
2013.07,전라남도,아파트,762
2013.07,전북특별자치도,아파트,0
2013.07,제주특별자치도,아파트,29
2013.07,충청남도,아파트,178
2013.07,충청북도,아파트,29
2013.08,강원특별자치도,아파트,59
2013.08,경기도,아파트,2067
2013.08,경상남도,아파트,1560
2013.08,경상북도,아파트,740
2013.08,광주광역시,아파트,428
2013.08,대구광역시,아파트,854
2013.08,대전광역시,아파트,296
2013.08,부산광역시,아파트,4086
2013.08,서울특별시,아파트,2359
2013.08,세종특별자치시,아파트,0
2013.08,울산광역시,아파트,1385
2013.08,인천광역시,아파트,229
2013.08,전라남도,아파트,149
2013.08,전북특별자치도,아파트,290
2013.08,제주특별자치도,아파트,1384
2013.08,충청남도,아파트,735
2013.08,충청북도,아파트,0
2013.09,강원특별자치도,아파트,0
2013.09,경기도,아파트,3479
2013.09,경상남도,아파트,2996
2013.09,경상북도,아파트,326
2013.09,광주광역시,아파트,607
2013.09,대구광역시,아파트,1118
2013.09,대전광역시,아파트,1309
2013.09,부산광역시,아파트,625
2013.09,서울특별시,아파트,4317
2013.09,세종특별자치시,아파트,0
2013.09,울산광역시,아파트,0
2013.09,인천광역시,아파트,275
2013.09,전라남도,아파트,580
2013.09,전북특별자치도,아파트,506
2013.09,제주특별자치도,아파트,316
2013.09,충청남도,아파트,934
2013.09,충청북도,아파트,601
2013.10,강원특별자치도,아파트,30
2013.10,경기도,아파트,8177
2013.10,경상남도,아파트,2343
2013.10,경상북도,아파트,1387
2013.10,광주광역시,아파트,1514
2013.10,대구광역시,아파트,195
2013.10,대전광역시,아파트,1445
2013.10,부산광역시,아파트,887
2013.10,서울특별시,아파트,4285
2013.10,세종특별자치시,아파트,0
2013.10,울산광역시,아파트,1284
2013.10,인천광역시,아파트,55
2013.10,전라남도,아파트,1725
2013.10,전북특별자치도,아파트,1622
2013.10,제주특별자치도,아파트,55
2013.10,충청남도,아파트,240
2013.10,충청북도,아파트,1099
2013.11,강원특별자치도,아파트,538
2013.11,경기도,아파트,11375
2013.11,경상남도,아파트,3269
2013.11,경상북도,아파트,2116
2013.11,광주광역시,아파트,40
2013.11,대구광역시,아파트,350
2013.11,대전광역시,아파트,200
2013.11,부산광역시,아파트,917
2013.11,서울특별시,아파트,6561
2013.11,세종특별자치시,아파트,0
2013.11,울산광역시,아파트,575
2013.11,인천광역시,아파트,1370
2013.11,전라남도,아파트,1731
2013.11,전북특별자치도,아파트,0
2013.11,제주특별자치도,아파트,585
2013.11,충청남도,아파트,1712
2013.11,충청북도,아파트,82
2013.12,강원특별자치도,아파트,1110
2013.12,경기도,아파트,2605
2013.12,경상남도,아파트,5271
2013.12,경상북도,아파트,1398
2013.12,광주광역시,아파트,1742
2013.12,대구광역시,아파트,4307
2013.12,대전광역시,아파트,72
2013.12,부산광역시,아파트,2875
2013.12,서울특별시,아파트,2694
2013.12,세종특별자치시,아파트,2720
2013.12,울산광역시,아파트,1954
2013.12,인천광역시,아파트,1707
2013.12,전라남도,아파트,2050
2013.12,전북특별자치도,아파트,3196
2013.12,제주특별자치도,아파트,1340
2013.12,충청남도,아파트,1009
2013.12,충청북도,아파트,114
2014.01,강원특별자치도,아파트,96
2014.01,경기도,아파트,1672
2014.01,경상남도,아파트,824
2014.01,경상북도,아파트,553
2014.01,광주광역시,아파트,817
2014.01,대구광역시,아파트,269
2014.01,대전광역시,아파트,96
2014.01,부산광역시,아파트,269
2014.01,서울특별시,아파트,2740
2014.01,세종특별자치시,아파트,72
2014.01,울산광역시,아파트,163
2014.01,인천광역시,아파트,1205
2014.01,전라남도,아파트,435
2014.01,전북특별자치도,아파트,948
2014.01,제주특별자치도,아파트,345
2014.01,충청남도,아파트,426
2014.01,충청북도,아파트,19
2014.02,강원특별자치도,아파트,0
2014.02,경기도,아파트,3135
2014.02,경상남도,아파트,208
2014.02,경상북도,아파트,1394
2014.02,광주광역시,아파트,833
2014.02,대구광역시,아파트,533
2014.02,대전광역시,아파트,2905
2014.02,부산광역시,아파트,893
2014.02,서울특별시,아파트,2616
2014.02,세종특별자치시,아파트,76
2014.02,울산광역시,아파트,1512
2014.02,인천광역시,아파트,843
2014.02,전라남도,아파트,2774
2014.02,전북특별자치도,아파트,1081
2014.02,제주특별자치도,아파트,24
2014.02,충청남도,아파트,417
2014.02,충청북도,아파트,0
2014.03,강원특별자치도,아파트,397
2014.03,경기도,아파트,1458
2014.03,경상남도,아파트,2667
2014.03,경상북도,아파트,174
2014.03,광주광역시,아파트,818
2014.03,대구광역시,아파트,0
2014.03,대전광역시,아파트,957
2014.03,부산광역시,아파트,794
2014.03,서울특별시,아파트,4409
2014.03,세종특별자치시,아파트,0
2014.03,울산광역시,아파트,1257
2014.03,인천광역시,아파트,1654
2014.03,전라남도,아파트,208
2014.03,전북특별자치도,아파트,113
2014.03,제주특별자치도,아파트,71
2014.03,충청남도,아파트,1015
2014.03,충청북도,아파트,3372
2014.04,강원특별자치도,아파트,2482
2014.04,경기도,아파트,6548
2014.04,경상남도,아파트,4744
2014.04,경상북도,아파트,238
2014.04,광주광역시,아파트,839
2014.04,대구광역시,아파트,975
2014.04,대전광역시,아파트,945
2014.04,부산광역시,아파트,837
2014.04,서울특별시,아파트,4459
2014.04,세종특별자치시,아파트,1687
2014.04,울산광역시,아파트,514
2014.04,인천광역시,아파트,213
2014.04,전라남도,아파트,1508
