시점,시도,주택유형,개수
2012.03,대구광역시,아파트,418
2012.03,대전광역시,아파트,552
2012.03,부산광역시,아파트,1280
2012.03,서울특별시,아파트,4193
2012.03,울산광역시,아파트,1053
2012.03,인천광역시,아파트,1197
2012.03,전라남도,아파트,748
2012.03,전북특별자치도,아파트,1084
2012.03,제주특별자치도,아파트,928
2012.03,충청남도,아파트,2153
2012.03,충청북도,아파트,2117
2012.04,강원특별자치도,아파트,19
2012.04,경기도,아파트,1609
2012.04,경상남도,아파트,82
2012.04,경상북도,아파트,75
2012.04,광주광역시,아파트,359
2012.04,대구광역시,아파트,326
2012.04,대전광역시,아파트,42
2012.04,부산광역시,아파트,1496
2012.04,서울특별시,아파트,3460
2012.04,울산광역시,아파트,870
2012.04,인천광역시,아파트,140
2012.04,전라남도,아파트,184
2012.04,전북특별자치도,아파트,848
2012.04,제주특별자치도,아파트,550
2012.04,충청남도,아파트,1904
2012.04,충청북도,아파트,655
2012.05,강원특별자치도,아파트,641
2012.05,경기도,아파트,1650
2012.05,경상남도,아파트,6420
2012.05,경상북도,아파트,18
2012.05,광주광역시,아파트,1181
2012.05,대구광역시,아파트,1285
2012.05,대전광역시,아파트,126
2012.05,부산광역시,아파트,1406
2012.05,서울특별시,아파트,4407
2012.05,울산광역시,아파트,941
2012.05,인천광역시,아파트,40
2012.05,전라남도,아파트,2586
2012.05,전북특별자치도,아파트,402
2012.05,제주특별자치도,아파트,303
2012.05,충청남도,아파트,2510
2012.05,충청북도,아파트,789
2012.06,강원특별자치도,아파트,0
2012.06,경기도,아파트,16452
2012.06,경상남도,아파트,2674
2012.06,경상북도,아파트,590
2012.06,광주광역시,아파트,1344
2012.06,대구광역시,아파트,1538
2012.06,대전광역시,아파트,53
2012.06,부산광역시,아파트,919
2012.06,서울특별시,아파트,610
2012.06,울산광역시,아파트,2185
2012.06,인천광역시,아파트,220
2012.06,전라남도,아파트,1527
2012.06,전북특별자치도,아파트,2523
2012.06,제주특별자치도,아파트,344
2012.06,충청남도,아파트,3327
2012.06,충청북도,아파트,92
2012.07,강원특별자치도,아파트,555
2012.07,경기도,아파트,3115
2012.07,경상남도,아파트,2150
2012.07,경상북도,아파트,91
2012.07,광주광역시,아파트,632
2012.07,대구광역시,아파트,0
2012.07,대전광역시,아파트,343
2012.07,부산광역시,아파트,190
2012.07,서울특별시,아파트,2743
2012.07,세종특별자치시,아파트,0
2012.07,울산광역시,아파트,478
2012.07,인천광역시,아파트,153
2012.07,전라남도,아파트,1340
